business_id,date,likes,text,user_id
mVHrayjG3uZ_RLHkLj-AMg,1/6/13,1,Your GPS will not allow you to find this place. Put Rankin police department in instead. They are directly across the street.,EZ0r9dKKtEGVx2CdnowPCw
b9WZJp5L1RZr4F1nxclOoQ,8/27/12,2,If you haven't come for lunch you are missing out!  Great burgers and fries. Meatloaf and gravy on special (usually every or every other Thursday) and when thy had potato salad I always get it. Great lunch prices!,6GrH6gp09pqYykGv86D6Dg
SQ0j7bgSTazkVQlF5AnqyQ,9/16/11,1,Not a place to dine in but take out is great,QEXQo9mYn9W17ct1uxsm4Q
sbW8qHJgzEIH42B0S-3New,8/7/12,1,"If you can avoid the bathrooms, do so! Every time I have been there they were a mess! The staff did not seem to care when they were informed.",WPG2gqOOn_ve5Xe5cT7oOQ
McikHxxEqZ2X0joaRNKlaw,6/30/12,1,Back again for this to die for Spinach Salad :-) I haven't ate all day ""STARVING"" Hmmmm it will be Yummy!!!,Nf0SSRgStO8scYoPSNVqag
tv8cS4aaA1VDaInYgggb6g,11/30/12,1,The show hasn't started yet...but this food is AWFUL. I'd rather eat spaghetti at my high school cafeteria.,cNsuaATGLVUUpDSkChEk-g
2SwC8wqpZC4B9iFVTgYT9A,12/14/14,1,"A delicious birthday dinner, with a free entree coupon for me and a $10 off coupon for my dining buddies, all just for being on the mailing list? Yes, please!",9OZH1Ecw-qUkCW5MS0NefA
PzG0XmAmtXFs6Fdnubf41g,2/25/12,1,Weekends are the best.  Love the whole atmosphere.,5gr411yO_7unAzOupMfeAA
5V1K5DRpGrObijbtCuPbcg,10/4/12,1,Yeah! !,njgEC3foXamFUQxsTBeY5A
RqWF79LfzXl0PAN_hVCa2Q,7/9/14,1,They are now closed :( so sad- they were the best bakery in the burgh!,MSuyK2p8G9hEqyWf5IgnYQ
IxQ1ATP_Wg_QujO9nywzcQ,9/28/12,1,My last lunch at Max's before my move to Philly. Will miss this place...,o22rVXC_i-48nIv17VrfGw
Z7HNl4Gz00cA0_wt0S-vSw,8/22/12,1,Rustic flutes are buy one get one free!!,cNsuaATGLVUUpDSkChEk-g
q_BKmbdlYfQJroJVHfYMUQ,4/5/12,1,Food is great. The specials are amazing,GYZW_hoYjKp3VL7Qy8BKyA
2Igiyhi82R8_QaaPplRmCw,4/3/12,1,"Try the guys jumbot if you enjoy jalapenos and breakfast mixed together! I have it every weekend! Love the food! Consistent, menu noflexible",1Il8aVEWbHbZ8cickppiiQ
2X5G4Ujq0s4Wfn4TC7gX0g,9/27/12,1,Cool place. Street parking if ur lucky,aAfpB9jz5dr4S2HLXpYWDA
1vQLTKwmcmZXtNzfKEvMmA,6/13/12,1,If you're here at lunch you cannot beat the lunch boat special.,MLQre1nvUtW-RqMTc4iC9A
hhNlQWaKqGbMPoeZHoL-IQ,10/16/12,1,Southwest chicken wings -cilantro- too good !,42ws6o2Npqs_6A3amDm4TA
z4cCguoHdU48pj6sXMIzqg,8/9/12,1,Nice sushi,MMqAhspuLz1e-vB0swnDaA
wHi8ODv7TGmeUB02XoX-mA,4/26/14,1,Drinks here Ok...stand by my don't eat here policy:) cheers!,2rSeth60_CuWN3ZJ4k41lg
90Fqfzd8zD9AuuNBSv9lAg,11/25/12,1,Landry's are the new owners a few months back. Not sure for the better.,pKh4Pc96YbOg-6hBOOajAA
KEzIorUdFjqCuxbRxKPghA,10/12/15,1,50 cent charge for cards as of 10/12/15 -_-,WzaaorVCmUTQvu4mScunNg
lVB0HB2PxC9OTtMcz0wagA,6/1/13,1,No baby corn. How is this possible? Isn't this a staple?,HI7byNVBtzinyLl3UCvynA
41CXLCeB8z2oNdIOvnrzIA,7/16/12,1,Great place for a stop on the bike trail for a cold one!,j5oVuzkGBieqUOm8L3v46Q
XY3sN_2uusMSU9i1WINFeg,11/15/14,1,Second tier seats here aren't nearly as cramped as those at Heinz Hall.,9OZH1Ecw-qUkCW5MS0NefA
uUorjstNslr3gkIsVGtQAg,7/14/12,1,Tomato Chicken Mozzarella sandwich!! Omg!,9EGSPg_BkcmRmj_KLuAwvA
J011r7mUV1QhgLJ7GkrtMw,9/15/12,1,"Always a favorite... Everything is awesome, but I'm partial to the #7!!",yl3VWypD3MiZyYRXOnmg2w
6xEl2PDJulIp1PfWqa7-aA,5/26/12,1,"Crab gazpacho rocks, mahi mahi was awesome, not what you expect from an Irish pub, New menu for the summer, check it out.",k4O9csXyT4xnksEH9vKYwA
PTS4MxQel-xzj5qWxVn3LQ,7/5/13,2,The large pizza is huge. Don't underestimate it.,V3Q6uvTn2I8xZ8NJbH4wHg
LN3OCT1xOedbf65xKzFSNw,2/8/14,1,this place is closed.  it is abandoned like something out of the walking dead.,p0jbYyhuoD0RYWPqDavJhA
vgXE1I7c9ElcfYyZfQiN1Q,7/18/12,1,Going to have a great burger,NCcTr3VyUBLeyc7BZBCm4g
5MChfa-jZfMo3vBpolkSbw,4/27/13,1,Late night Saturday dinner is a real bonus when you're hungry for some good Italian food and it's after 10,neBCZl1X_pDl11y7nVYFoQ
VJe-sf7dBY6GRGO6TcqzTA,12/5/12,1,Wax time!,U3rZpaV-1BmFmpp9HqjaGw
KNh_W0eOkpyrVRaIkH-gGQ,1/3/13,1,Acupuncture treatment for spinal problems in my dachshund is a great service. Dr. Dixon does an amazing job!!!,JBTTNbZTAujs01KknZ2Gng
2_0P2AmSSFtPgddio0MgYA,2/27/13,2,I will die and have pretzel bread at heavens gate! The potato pancakes were also amazing!,o6iepMVRTBwThUfaGDLS8Q
2_0P2AmSSFtPgddio0MgYA,3/30/13,1,Have the spaetzel...sans gravy.,lorNIlWilUomuzPlP2SAcw
udbtIhRXiehLRQoMFKvNXg,5/3/13,1,"Learning about the history of Charlotte,  North Carolina",liWRT_d1o5U9WUCot3SVjw
-6JY1T0w4XETux5kGOj84g,4/12/13,1,I like that they have bud light platinum.   I don't like that it's $4.60.  Guess I'll have shots instead lol.,9Z0dsTW8xXpS5rSfb29GoA
WuCcv_Dyd_1B_1-4jwK7sQ,12/29/12,1,Best place to pick up hot cubs.,cE9fMtG_w-wR6X8JVTuMwg
rT-iPtIXMKj3dTcl87lbOw,5/4/13,1,Ask for Chinese donuts for dessert. They're not on the menu but they'll make them if you ask. And they're filled with coconut! Serving of 10.,ILv8_MJFGd1TH0vFg4N07w
4nFqPL-glgDm9v7bZptskQ,5/23/14,1,Gorgeous meeting spot...,3jJGMr9PqAbW3wkzS0GY5A
NTfUFk8GyOLL1uPbEO-pVg,1/28/13,1,"The mussel appetizer is a treat - about36 mussels in yummy broth, and if you get here between 4-6pm on a weekday, it's $6. Boo-yah!",mXA8Em6TJ1jCJpKLiQ2qLQ
NTfUFk8GyOLL1uPbEO-pVg,3/15/13,1,Park in Two Wells Fargo,CKMIUHShsxr5YUFuQPwKwA
NTfUFk8GyOLL1uPbEO-pVg,3/28/13,1,Best restaurant in Charlotte so far that I have tried and priced very well,NPxW8oeuKz9VWTsG4naLPw
EwuvZCcVHkICgTbqCEjikA,4/24/13,1,Trivia time !!,OMpGdDM40uOzNiA6YMwZTQ
e5J3s-xxs1S6PPHJhldBEA,5/16/13,1,Great crabby mac and cheese,3jJGMr9PqAbW3wkzS0GY5A
ZBQWSsUXwixFmm3lpegMiA,9/10/11,1,Saturday morning and it's quiet!,bo0uGprTC410UJwr-DOU2w
XeFNQqz5vVsVIcTjNuXcTw,6/23/12,1,DJ Fat Kid on Saturdays. He has an open tab and usually gets obliterated to the point where he gets pulled. Don't request a song cause he ain't playing it.,Ww0dt9knQfv4To5LbtEnUw
nuCgH96Tfe6CFXznvmKdhA,1/5/13,1,"New buffet today! Lots of different items, all good.",QzTCnuN_LGQCYnsd77gJkg
L1OqlH9UzjBK0js4sKs9cQ,5/25/14,1,Love. Best place to go for free comic day too!,OsooYqtxsGhV_AgaTdhxeg
3Q0QQPnHcJuX1DLCL9G9Cg,8/18/12,1,Picking up baby bro,i2v60Xq49Xjfj6qDbPGP-A
3Q0QQPnHcJuX1DLCL9G9Cg,1/18/13,1,"This might be a weird tip, but the bathrooms here are always super clean. There is an attendant who has a table with mints, tissues, tampons and pads. Oh, and a tip jar. Fancy stuff going on at CLT.",imqD3jZfRe6n_Jr9wfIO9A
